id,result
1257_1278,0.58169423188079
1261_1463,0.693092468647707
1120_1308,0.62800930174308
1199_1436,0.713326203434382
1133_1277,0.122016679882549
1125_1268,0.396076790159078
1242_1318,0.69566497530652
1266_1293,0.563898576885397
1196_1305,0.479406733964061
1101_1246,0.15201220920574
1192_1211,0.0651051460814319
1388_1437,0.479406733964061
1371_1459,0.384538752449724
1276_1285,0.837388041538723
1124_1393,0.509699151802104
1330_1345,0.221272711657731
1153_1234,0.521808639128848
1279_1328,0.479406733964061
1297_1403,0.236239134923163
1243_1414,0.674753066384788
1159_1397,0.184134178230539
1205_1438,0.115670876114277
1113_1138,0.390292427758569
1332_1458,0.375968904307989
1429_1449,0.521808639128848
1181_1295,0.922395370192295
1209_1222,0.211005432319505
1251_1280,0.384538752449724
1233_1314,0.0806083275875294
1416_1433,0.485460236394126
1235_1326,0.569851132082002
1387_1439,0.189660319721796
1261_1268,0.506669443968598
1246_1459,0.533892547738406
1196_1276,0.428372192532081
1277_1278,0.62517304386182
1199_1293,0.60508758211687
1124_1211,0.401890372596694
1345_1437,0.548940051910184
1120_1242,0.509699151802104
1234_1397,0.398980021834916
1314_1449,0.62517304386182
1181_1416,0.602187263253303
1138_1403,0.449264995837675
1251_1439,0.347983472467304
1328_1438,0.396076790159078
1222_1326,0.593443893679588
1332_1414,0.584640904407159
1199_1211,0.461289526161614
1345_1397,0.491518007904699
1276_1403,0.506669443968598
1332_1438,0.345238166227983
1261_1277,0.464303267551408
1120_1314,0.473359272861146
1181_1439,0.524832566280392
1222_1246,0.488488699499859
1211_1403,0.518783112721839
1345_1438,0.473359272861146
1120_1246,0.485460236394126
1181_1277,0.503639246211202
1277_1403,0.512728147296853
1120_1438,0.461289526161614
1403_1438,0.479406733964061
